ts,sm_mhz,util,power_w,temp_c
2026/07/30 10:52:28.977, 2610, 0, 55.60, 42
2026/07/30 10:52:34.010, 2730, 36, 94.67, 45
2026/07/30 10:52:39.046, 2730, 0, 63.58, 42
2026/07/30 10:52:44.082, 2610, 0, 55.53, 41
2026/07/30 10:52:49.137, 2610, 0, 55.61, 41
2026/07/30 10:52:54.189, 2610, 0, 55.57, 41
2026/07/30 10:52:59.271, 2730, 1, 79.68, 43
2026/07/30 10:53:04.306, 2730, 54, 122.59, 46
2026/07/30 10:53:09.389, 2730, 19, 97.94, 44
2026/07/30 10:53:14.475, 2730, 74, 111.25, 48
2026/07/30 10:53:19.529, 2730, 58, 181.89, 49
2026/07/30 10:53:24.581, 2730, 61, 123.94, 47
2026/07/30 10:53:29.633, 2730, 56, 172.42, 48
2026/07/30 10:53:34.666, 2610, 0, 59.75, 43
2026/07/30 10:53:39.683, 2730, 99, 310.59, 59
2026/07/30 10:53:44.718, 2730, 99, 176.18, 56
2026/07/30 10:53:49.735, 2730, 99, 258.66, 56
2026/07/30 10:53:54.751, 2715, 99, 343.12, 60
2026/07/30 10:53:59.786, 2715, 100, 238.51, 63
2026/07/30 10:54:04.866, 2730, 98, 170.26, 51
2026/07/30 10:54:09.902, 2730, 14, 205.72, 48
2026/07/30 10:54:14.976, 2730, 7, 126.29, 48
2026/07/30 10:54:20.026, 2715, 99, 198.53, 58
2026/07/30 10:54:25.062, 2715, 99, 193.08, 57
2026/07/30 10:54:30.117, 2730, 99, 158.71, 57
2026/07/30 10:54:35.154, 2715, 100, 364.62, 65
2026/07/30 10:54:40.171, 2730, 95, 174.45, 52
2026/07/30 10:54:45.210, 2715, 99, 157.90, 59
2026/07/30 10:54:50.227, 2730, 0, 178.32, 50
2026/07/30 10:54:55.262, 2730, 99, 114.94, 52
2026/07/30 10:55:00.326, 2715, 99, 249.43, 61
2026/07/30 10:55:05.345, 2730, 8, 213.55, 49
2026/07/30 10:55:10.378, 2715, 99, 157.12, 59
2026/07/30 10:55:15.397, 2730, 99, 150.76, 57
